Year	Grid	Season	Tag	Mass	Status
Y1995	GE	June	A3930	29.5	None
Y1995	TE	June	A3944	27	None
Y2002	HE	July	A8369	28	None
Y2002	HE	August	A8369	23	None
Y1991	HC	December	C115	22.5	None
Y1991	HC	December	C121	23.5	None
Y1991	HC	December	C137	20.5	None
Y1995	HC	August	C1411	25	None
Y1995	HC	August	C1420	17	None
Y1995	HC	August	C1421	22	None
Y1995	HC	August	C1424	26	None
Y1995	HC	August	C1429	27	None
Y1995	HC	August	C1430	18	None
Y1995	HC	October	C1430	20	None
Y1995	HC	August	C1439	20	None
Y1995	HC	August	C1440	22	None
Y1995	HC	August	C1445	20	None
Y1995	HC	September	C1445	23	None
Y1995	HC	August	C1449	20	None
Y1995	HC	October	C1469	25	None
Y1995	HC	September	C1475	24	None
Y1995	HC	August	C1476	21	None
Y1995	HC	September	C1476	22	None
Y1995	HC	October	C1476	21	None
Y1995	HC	August	C1492	20	None
Y1995	HC	August	C1504	18	None
Y1995	HC	August	C1515	20	None
Y1995	HC	August	C1516	19	None
Y1995	HC	August	C1518	23	None
Y1995	HC	September	C1518	22	None
Y1995	HC	August	C1520	18	None
Y1995	HC	August	C1521	24	None
Y1995	HC	August	C1522	21	None
Y1995	HC	August	C1523	20	None
Y1995	HC	October	C1523	22	None
Y1995	HC	August	C1527	28	None
Y1995	HC	August	C1530	25	None
Y1995	HC	August	C1532	18	None
Y1995	HC	August	C1535	17	None
Y1995	HC	October	C1535	19	None
Y1995	HC	August	C1537	18	None
Y1995	HC	August	C1538	21	None
Y1995	HC	August	C1539	22	None
Y1995	HC	October	C1542	24	None
Y1995	HC	September	C1545	25	None
Y1995	HC	October	C1545	23	None
Y1995	HC	September	C1548	22	None
Y1991	HC	December	C155	22.5	None
Y1995	HC	August	C1554	19	None
Y1995	HC	October	C1557	17	None
Y1995	HC	August	C1558	22	None
Y1995	HC	October	C1558	22	None
Y1995	HC	August	C1560	20	None
Y1995	HC	August	C1561	19	None
Y1995	HC	August	C1562	18	None
Y1995	HC	September	C1562	21	None
Y1995	HC	October	C1565	20	None
Y1995	HC	September	C1568	24	None
Y1991	HC	December	C157	19.5	None
Y1995	HC	October	C1573	19	None
Y1995	HC	October	C1576	25	None
Y1995	TC	June	C1602	27	None
Y1995	TC	August	C1602	25	None
Y1995	TC	June	C1609	24	None
Y1995	TC	August	C1609	25	None
Y1991	HC	December	C161	22.5	None
Y1995	TC	June	C1633	19	None
Y1995	TC	October	C1633	23	None
Y1995	TC	November	C1633	19	None
Y1995	TC	August	C1634	25	None
Y1995	TC	August	C1637	26	None
Y1995	TC	August	C1638	23	None
Y1995	TC	November	C1638	24	None
Y1995	TC	June	C1656	25	None
Y1995	TC	August	C1660	27	None
Y1995	TC	June	C1664	27	None
Y1995	TC	August	C1664	26	None
Y1995	TC	October	C1664	26	None
Y1995	TC	August	C1667	28	None
Y1995	TC	August	C1673	25	None
Y1995	TC	October	C1673	27	None
Y1995	TC	August	C1675	20	None
Y1995	TC	October	C1675	21	None
Y1995	TC	June	C1676	25	None
Y1995	TC	August	C1676	23	None
Y1995	TC	October	C1676	24	None
Y1995	TC	June	C1687	23	None
Y1995	TC	August	C1687	24	None
Y1995	TC	June	C1699	23	None
Y1995	TC	August	C1699	22	None
Y1995	TC	August	C1725	15	None
Y1995	TC	October	C1725	22	None
Y1995	TC	June	C1728	19	None
Y1995	TC	August	C1737	21	None
Y1995	TC	October	C1737	25	None
Y1995	TC	November	C1737	21	None
Y1995	TC	August	C1739	17	None
Y1995	TC	August	C1740	21	None
Y1995	TC	October	C1740	22	None
Y1995	TC	November	C1740	22	None
Y1995	TC	August	C1742	16	None
Y1995	TC	August	C1745	13	None
Y1995	TC	October	C1745	21	None
Y1995	TC	November	C1745	19	None
Y1995	TC	August	C1746	16	None
Y1995	TC	August	C1748	27	None
Y1995	TC	August	C1752	19	None
Y1995	TC	October	C1752	21	None
Y1995	TC	August	C1772	19	None
Y1995	TC	June	C1774	24	None
Y1995	TC	August	C1774	23	None
Y1995	TC	October	C1774	24	None
Y1995	TC	June	C1775	17	None
Y1995	TC	August	C1775	18	None
Y1995	TC	June	C1779	20	None
Y1995	TC	June	C1780	22	None
Y1995	TC	August	C1780	23	None
Y1995	TC	August	C1784	23	None
Y1995	TC	August	C1784	18	None
Y1995	TC	October	C1784	25	None
Y1995	TC	November	C1784	24	None
Y1995	TC	August	C1785	22	None
Y1995	TC	August	C1786	19	None
Y1995	TC	August	C1795	20	None
Y1995	TC	October	C1795	21	None
Y1995	TC	November	C1795	20	None
Y1995	TC	August	C1797	23	None
Y1995	TC	October	C1798	24	None
Y1995	TC	November	C1798	23	None
Y1995	TC	August	C1800	25	None
Y1995	GC	June	C1813	23	None
Y1995	GC	August	C1814	19	None
Y1995	GC	August	C1819	19	None
Y1995	GC	June	C1826	23	None
Y1995	GC	June	C1830	23	None
Y1995	GC	August	C1830	22	None
Y1995	GC	June	C1838	19	None
Y1995	GC	August	C1838	19	None
Y1995	TC	October	C1838	24	None
Y1995	GC	June	C1843	22	None
Y1995	GC	August	C1843	24	None
Y1995	GC	October	C1843	23	None
Y1995	GC	November	C1843	23	None
Y1995	GC	June	C1844	21	None
Y1995	GC	October	C1844	22	None
Y1995	GC	August	C1849	23	None
Y1995	GC	June	C1850	21	None
Y1995	GC	August	C1850	24	None
Y1995	GC	October	C1850	25	None
Y1995	GC	November	C1850	22	None
Y1995	GC	June	C1857	22	None
Y1995	GC	August	C1857	26	None
Y1995	GC	October	C1857	25	None
Y1995	GC	August	C1859	19	None
Y1995	GC	June	C1861	25	None
Y1995	GC	August	C1861	24	None
Y1995	GC	June	C1862	20	None
Y1995	GC	August	C1862	20	None
Y1995	GC	June	C1864	20	None
Y1995	GC	June	C1871	20	None
Y1995	GC	August	C1871	22	None
Y1995	GC	October	C1876	25	None
Y1995	GC	June	C1879	22	None
Y1995	GC	August	C1879	23	None
Y1991	HC	December	C188	21	None
Y1995	GC	June	C1881	24	None
Y1995	GC	August	C1881	22	None
Y1995	GC	June	C1887	20	None
Y1995	GC	June	C1887	18	None
Y1995	GC	June	C1888	17	None
Y1995	GC	June	C1889	17	None
Y1995	GC	June	C1895	22	None
Y1995	GC	August	C1895	24	None
Y1995	GC	June	C1896	17	None
Y1995	GC	June	C1901	19	None
Y1995	GC	August	C1901	18	None
Y1995	GC	June	C1903	15	None
Y1995	GC	August	C1906	20	None
Y1995	GC	June	C1911	19	None
Y1995	GC	August	C1911	21	None
Y1995	GC	June	C1917	23	None
Y1995	GC	August	C1917	24	None
Y1995	GC	October	C1917	26	None
Y1995	GC	November	C1917	22	None
Y1995	GC	August	C1922	20	None
Y1995	GC	August	C1926	20	None
Y1995	GC	August	C1928	18	None
Y1995	GC	October	C1928	19	None
Y1995	GC	October	C1930	17	None
Y1995	GC	November	C1930	14	None
Y1995	GC	August	C1935	17	None
Y1995	GC	August	C1939	19	None
Y1995	GC	October	C1941	21	None
Y1995	GC	October	C1963	21	None
Y1995	GC	October	C1969	21	None
Y1995	GC	October	C1970	22	None
Y1995	GC	October	C1972	21	None
Y1995	GC	November	C1972	17	None
Y1995	GC	October	C1976	26	None
Y1995	GC	November	C1976	20	None
Y1995	GC	October	C1977	26	None
Y1995	GC	October	C1979	21	None
Y1995	GC	October	C1981	22	None
Y1995	GC	October	C1983	22	None
Y1995	GC	October	C1988	21	None
Y1995	GC	November	C1988	19	None
Y1991	HC	December	C199	22	None
Y1995	GC	October	C1991	23	None
Y1995	GC	October	C1993	20	None
Y1995	GC	October	C1996	18	None
Y1995	GC	October	C1998	25	None
Y1995	GC	October	C2000	22	None
Y1995	GC	June	C2002	15	None
Y1995	GC	June	C2003	16	None
Y1995	GC	August	C2003	17	None
Y1995	GC	June	C2005	18	None
Y1995	GC	June	C2012	18	None
Y1995	GC	June	C2013	17	None
Y1995	GC	August	C2013	21	None
Y1995	GC	October	C2013	23	None
Y1995	GC	June	C2016	16	None
Y1995	GC	August	C2016	18	None
Y1995	GC	June	C2019	17	None
Y1995	GC	August	C2019	20	None
Y1991	HC	December	C202	14.5	None
Y1995	GC	August	C2021	23	None
Y1995	GC	October	C2021	23	None
Y1995	GC	November	C2021	23	None
Y1995	GC	June	C2025	21	None
Y1995	GC	June	C2028	23	None
Y1995	GC	June	C2036	19	None
Y1991	HC	December	C204	19.5	None
Y1995	GC	June	C2041	15	None
Y1995	GC	August	C2049	26	None
Y1995	GC	August	C2052	21	None
Y1995	GC	October	C2053	20	None
Y1995	GC	August	C2054	20	None
Y1995	GC	August	C2057	18	None
Y1995	GC	August	C2058	19	None
Y1995	GC	October	C2058	18	None
Y1991	HC	December	C206	21.5	None
Y1995	GC	October	C2061	22	None
Y1995	GC	November	C2061	22	None
Y1995	GC	August	C2063	21	None
Y1995	GC	October	C2063	24	None
Y1995	GC	November	C2063	21	None
Y1995	GC	August	C2067	19	None
Y1995	GC	August	C2069	16	None
Y1995	GC	August	C2071	17	None
Y1995	GC	October	C2071	20	None
Y1995	GC	October	C2081	19	None
Y1995	GC	October	C2082	22	None
Y1991	HC	December	C209	21	None
Y1995	GC	October	C2091	18	None
Y1995	GC	November	C2093	18	None
Y1995	GC	November	C2096	18	None
Y1995	GC	November	C2098	20	None
Y1996	GC	October	C2109	19	None
Y1996	GC	October	C2111	25	None
Y1996	GC	October	C2112	20	None
Y1996	GC	October	C2118	24	None
Y1996	GC	September	C2119	24	None
Y1996	GC	October	C2120	23	None
Y1996	GC	August	C2121	18	None
Y1997	HC	September	C216	23	None
Y1996	GC	September	C2164	20	None
Y1996	GC	September	C2167	15	None
